orig.ident,Sample.lanes,age,sort.ids,origin,count,total_live_events,parent_Multiplier,remarks
F19,FCAImmP7241242,10,CD45+,liver,209476,306627,0.683162279,
F19,FCAImmP7241243,10,CD45-,liver,96687,306627,0.315324482,
F19,FCAImmP7241241,10,CD45+,skin,22826,919270,0.024830572,
F19,FCAImmP7241240,10,CD45-,skin,895669,919270,0.974326368,
F21,FCAImmP7179367,16,CD45+,fbm,2500,48874,0.41,
F21,FCAImmP7179368,16,CD45-,fbm,3604,48874,0.59,
F21,Nan,16,CD45+,gut,2431,4359,0.557696719,no_10X
F21,Nan,16,CD45-,gut,1928,4359,0.442303281,no_10X
F21,FCAImmP7179363,16,CD45+,liver,3887,14305,0.271723174,
F21,FCAImmP7179364,16,CD45-,liver,10418,14305,0.728276826,
F21,FCAImmP7179365,16,CD45+,spleen,6600,8147,0.810114152,
F21,FCAImmP7179366,16,CD45-,spleen,1547,8147,0.189885848,
F21,FCAImmP7179369,16,CD45+,thymus,3272,3740,0.87486631,
F21,FCAImmP7179370,16,CD45-,thymus,468,3740,0.12513369,
F22,FCAImmP7198434,9,total,liver,1,1,1,
F22,FCAImmP7198628,9,CD45+,liver,807,7252,0.111279647,
F22,FCAImmP7198629,9,CD45-,liver,6445,7252,0.888720353,
F22,FCAImmP7198433,9,total,spleen,1,1,1,
F22,FCAImmP7198432,9,total,thymus,1,1,1,
F22,FCAImmP7198435,9,total,yolkSac,1,1,1,
F23,FCAImmP7198630,11,CD45+,liver,871,7382,0.117989705,
F23,FCAImmP7198631,11,CD45-,liver,6511,7382,0.882010295,
F23,FCAImmP7198632,11,CD45+,spleen,1561,7245,0.215458937,
F23,FCAImmP7198633,11,CD45-,spleen,5684,7245,0.784541063,
F23,FCAImmP7198634,11,CD45+,thymus,7028,9264,0.758635579,
F23,FCAImmP7198635,11,CD45-,thymus,2236,9264,0.241364421,
F29,FCAImmP7277558,17,CD45+,fbm,2881,10000,0.316,
F29,FCAImmP7277559,17,CD45-,fbm,6248,10000,0.684,
F29,FCAImmP7292031,17,total,fbm,9129,1,1,
F29,FCAImmP7277552,17,CD45+,liver,1867,6962,0.268170066,
F29,FCAImmP7277553,17,CD45-,liver,5095,6962,0.731829934,
F29,FCAImmP7292028,17,total,liver,1,1,1,
F29,FCAImmP7277554,17,CD45+,spleen,7718,9278,0.831860315,
F29,FCAImmP7277555,17,CD45-,spleen,1560,9278,0.168139685,
F29,FCAImmP7292029,17,total,spleen,1,1,1,
F29,FCAImmP7277556,17,CD45+,thymus,8623,9627,0.895709982,
F29,FCAImmP7277557,17,CD45-,thymus,1004,9627,0.104290018,
F29,FCAImmP7292030,17,total,thymus,1,1,1,
F30,FCAImmP7277566,14,CD45+,fbm,4737,10000,0.512773328,
F30,FCAImmP7277567,14,CD45-,fbm,4501,10000,0.487226672,
F30,FCAImmP7292035,14,total,fbm,8938,10000,1,
F30,FCAImmP7277560,14,CD45+,liver,1009,5955,0.169437448,
F30,FCAImmP7277561,14,CD45-,liver,4946,5955,0.830562552,
F30,FCAImmP7292032,14,total,liver,1,1,1,
F30,FCAImmP7277562,14,CD45+,spleen,5066,8203,0.617578935,
F30,FCAImmP7277563,14,CD45-,spleen,3137,8203,0.382421065,
F30,FCAImmP7292033,14,total,spleen,1,1,1,
F30,FCAImmP7277564,14,CD45+,thymus,8549,9423,0.907248222,
F30,FCAImmP7277565,14,CD45-,thymus,874,9423,0.092751778,
F30,FCAImmP7292034,14,total,thymus,1,1,1,
F32,FCAImmP7316894,7,CD45+,liver,888,7365,0.120570265,
F32,FCAImmP7316895,7,CD45-,liver,6477,7365,0.879429735,
F32,FCAImmP7316901,7,CD45+,liver,888,7365,0.120570265,
F32,FCAImmP7316896,7,CD45+,skin,317,8903,0.035605976,
F32,FCAImmP7316897,7,CD45-,skin,8586,8903,0.964394024,
F32,FCAImmP7316898,7,CD45+,thymus,456,7978,0.057157182,
F32,FCAImmP7316899,7,CD45-,thymus,7522,7978,0.942842818,
F32,FCAImmP7316900,7,total,yolkSac,1,1,1,
F33,FCAImmP7316889,9,CD45+,liver,5539,44539,0.124362918,
F33,FCAImmP7316890,9,CD45+,liver,5539,44539,0.124362918,
F33,FCAImmP7316891,9,CD45+,liver,5539,44539,0.124362918,
F33,FCAImmP7316892,9,CD45-,liver,39000,44539,0.875637082,
F33,FCAImmP7316893,9,CD45-,liver,39000,44539,0.875637082,
F33,FCAImmP7316886,9,CD45+,skin,77153,1474021,0.052341859,
F33,FCAImmP7316887,9,CD45+,skin,77153,1474021,0.052341859,
F33,FCAImmP7316888,9,CD45-,skin,1396868,1474021,0.947658141,
F34,FCAImmP7352192,8,CD45+,liver,1763,15847,0.111251341,
F34,FCAImmP7352193,8,CD45+,liver,1763,15847,0.111251341,
F34,FCAImmP7352194,8,CD45-,liver,14084,15847,0.888748659,
F34,FCAImmP7352195,8,CD45-,liver,14084,15847,0.888748659,
F34,FCAImmP7352196,8,CD45+,liver,1763,15847,0.111251341,
F34,FCAImmP7352189,8,CD45+,skin,237,7293,0.032496915,
F34,FCAImmP7352190,8,CD45-,skin,7056,7293,0.967503085,
F34,FCAImmP7352191,8,CD45-,skin,7056,7293,0.967503085,
F35,FCAImmP7462242,7,CD45+,kidney,174,10577,0.016450789,
F35,FCAImmP7462243,7,CD45-,kidney,10403,10577,0.983549211,
F35,FCAImmP7462237,7,CD45+,liver,1783,31162,0.057217123,
F35,FCAImmP7462238,7,CD45+,liver,1783,31162,0.057217123,
F35,FCAImmP7462239,7,CD45-,liver,29379,31162,0.942782877,
F35,FCAImmP7462240,7,CD45+,skin,1175,83036,0.014150489,
F35,FCAImmP7462241,7,CD45-,skin,81861,83036,0.985849511,
F35,FCAImmP7462244,7,total,yolkSac,1,1,1,
F37,FCAImmP7504909,4,total,yolkSac,1,1,1,
F37,FCAImmP7504910,4,total,yolkSac,1,1,1,
F37,FCAImmP7504911,4,total,yolkSac,1,1,1,
F37,FCAImmP7504912,4,total,yolkSac,1,1,1,
F37,FCAImmP7504913,4,total,yolkSac,1,1,1,
F38,FCAImmP7528281,12,CD45+,fbm,9951,10000,0.141,
F38,FCAImmP7528282,12,CD45-,fbm,60444,10000,0.859,
F38,FCAImmP7528292,12,CD45+,kidney,3423,69583,0.04919305,
F38,FCAImmP7528293,12,CD45-,kidney,66160,69583,0.95080695,
F38,FCAImmP7528286,12,CD45+,liver,490,4058,0.120749138,
F38,FCAImmP7528287,12,CD45+,liver,490,4058,0.120749138,
F38,FCAImmP7528288,12,CD45-,liver,3568,4058,0.879250862,
F38,FCAImmP7528289,12,CD45-,liver,3568,4058,0.879250862,
F38,FCAImmP7528295,12,CD45+,liver,490,4058,0.120749138,
F38,FCAImmP7528290,12,CD45+,skin,294,10886,0.027007165,
F38,FCAImmP7528291,12,CD45-,skin,10592,10886,0.972992835,
F38,FCAImmP7528296,12,CD45+,skin,294,10886,0.027007165,
F38,FCAImmP7528279,12,CD45+,spleen,13431,83047,0.161727696,
F38,FCAImmP7528280,12,CD45-,spleen,69616,83047,0.838272304,
F38,FCAImmP7528283,12,CD45+,thymus,42733,45278,0.943791687,
F38,FCAImmP7528284,12,CD45-,thymus,2545,45278,0.056208313,
F38,FCAImmP7528285,12,CD45-,thymus,2545,45278,0.056208313,
F38,FCAImmP7528294,12,CD45+,thymus,42733,45278,0.943791687,
F41,FCAImmP7555853,16,CD45+,fbm,13191,16323,0.808,
F41,FCAImmP7555854,16,CD45-,fbm,3132,16323,0.192,
F41,FCAImmP7555862,16,CD45+,fbm,13191,16323,0.808,
F41,FCAImmP7555855,16,CD45-,fbm,3132,16323,0.192,
F41,FCAImmP7555849,16,CD45+,kidney,905,16624,0.054439365,
F41,FCAImmP7555850,16,CD45-,kidney,15719,16624,0.945560635,
F41,FCAImmP7555859,16,CD45+,kidney,905,16624,0.054439365,
F41,FCAImmP7555846,16,CD45+,liver,612,4594,0.13321724,
F41,FCAImmP7555847,16,CD45-,liver,3982,4594,0.86678276,
F41,FCAImmP7555856,16,CD45+,liver,612,4594,0.13321724,
F41,FCAImmP7555857,16,CD45-,liver,3982,4594,0.86678276,
F41,FCAImmP7555848,16,CD45-,skin,65,5188,0.012528913,
F41,FCAImmP7555858,16,CD45+,skin,5123,5188,0.987471087,
F41,FCAImmP7555851,16,CD45+,thymus,17433,18741,0.930206499,
F41,FCAImmP7555852,16,CD45-,thymus,1308,18741,0.069793501,
F41,FCAImmP7555860,16,CD45+,thymus,17433,18741,0.930206499,
F41,FCAImmP7555861,16,CD45-,thymus,1308,18741,0.069793501,
F45,FCAImmP7579220,12,CD45+,fbm,4198,5183,0.809955624,
F45,FCAImmP7579221,12,CD45-,fbm,985,5183,0.190044376,
F45,FCAImmP7579232,12,CD45+,fbm,4198,5183,0.809955624,
F45,FCAImmP7579233,12,CD45-,fbm,985,5183,0.190044376,
F45,FCAImmP7579214,12,CD45+,kidney,390,4763,0.081881167,
F45,FCAImmP7579215,12,CD45-,kidney,4373,4763,0.918118833,
F45,FCAImmP7579225,12,CD45-,kidney,4373,4763,0.918118833,
F45,FCAImmP7579210,12,CD45+,liver,838,3923,0.213612032,
F45,FCAImmP7579211,12,CD45-,liver,3085,3923,0.786387968,
F45,FCAImmP7579222,12,CD45+,liver,838,3923,0.213612032,
F45,FCAImmP7579223,12,CD45-,liver,3085,3923,0.786387968,
F45,FCAImmP7579226,12,CD45+,liver,760,4492,0.169189671,
F45,FCAImmP7579227,12,CD45-,liver,3732,4492,0.830810329,
F45,FCAImmP7579212,12,CD45+,skin,138,5178,0.026651217,
F45,FCAImmP7579213,12,CD45-,skin,5040,5178,0.973348783,
F45,FCAImmP7579224,12,CD45+,skin,138,5178,0.026651217,
F45,FCAImmP7579216,12,CD45+,spleen,1609,4376,0.367687386,
F45,FCAImmP7579217,12,CD45-,spleen,2767,4376,0.632312614,
F45,FCAImmP7579228,12,CD45+,spleen,1609,4376,0.367687386,
F45,FCAImmP7579229,12,CD45-,spleen,2767,4376,0.632312614,
F45,FCAImmP7579218,12,CD45+,thymus,7914,8896,0.889613309,
F45,FCAImmP7579219,12,CD45-,thymus,982,8896,0.110386691,
F45,FCAImmP7579230,12,CD45+,thymus,7914,8896,0.889613309,
F45,FCAImmP7579231,12,CD45-,thymus,982,8896,0.110386691,
F50,FCAImmP7803016,15,CD45+,fbm,602363,1008881,0.597060506,
F50,FCAImmP7803017,15,CD45+,fbm,602363,1008881,0.597060506,
F50,FCAImmP7803018,15,CD45-,fbm,406518,1008881,0.402939494,
F50,FCAImmP7803019,15,CD45-,fbm,406518,1008881,0.402939494,
F50,FCAImmP7803024,15,CD45+,skin,15293,1410218,0.010844423,
F50,FCAImmP7803025,15,CD45+,skin,15293,1410218,0.010844423,
F50,FCAImmP7803026,15,CD45-,skin,1394925,1410218,0.989155577,
F50,FCAImmP7803027,15,CD45-,skin,1394925,1410218,0.989155577,
F50,FCAImmP7803020,15,CD45+,spleen,439041,1300835,0.337507063,
F50,FCAImmP7803021,15,CD45+,spleen,439041,1300835,0.337507063,
F50,FCAImmP7803022,15,CD45-,spleen,861794,1300835,0.662492937,
F50,FCAImmP7803023,15,CD45-,spleen,861794,1300835,0.662492937,
F51,FCAImmP7803028,14,CD45+,boneMarrow,908960,1231643,0.738006062,
F51,FCAImmP7803029,14,CD45+,boneMarrow,908960,1231643,0.738006062,
F51,FCAImmP7803030,14,CD45+,boneMarrow,908960,1231643,0.738006062,
F51,FCAImmP7803031,14,CD45-,boneMarrow,322683,1231643,0.261993938,
F51,FCAImmP7803032,14,CD45-,boneMarrow,322683,1231643,0.261993938,
F51,FCAImmP7803033,14,CD45-,boneMarrow,322683,1231643,0.261993938,
F51,FCAImmP7803034,14,CD45+,skin,81785,1795901,0.045539815,
F51,FCAImmP7803035,14,CD45+,skin,81785,1795901,0.045539815,
F51,FCAImmP7803042,14,CD45-,skin,1714116,1795901,0.954460185,
F51,FCAImmP7803043,14,CD45-,skin,1714116,1795901,0.954460185,
F51,FCAImmP7803036,14,CD45+,spleen,375354,1098601,0.341665445,
F51,FCAImmP7803037,14,CD45+,spleen,375354,1098601,0.341665445,
F51,FCAImmP7803038,14,CD45+,spleen,375354,1098601,0.341665445,
F51,FCAImmP7803039,14,CD45-,spleen,723247,1098601,0.658334555,
F51,FCAImmP7803040,14,CD45-,spleen,723247,1098601,0.658334555,
F51,FCAImmP7803041,14,CD45-,spleen,723247,1098601,0.658334555,
F61,FCAImmP7862084,7,CD45+,liver,1902,10288,0.184875583,
F61,FCAImmP7862085,7,CD45+,liver,1902,10288,0.184875583,
F61,FCAImmP7862086,7,CD45-,liver,8386,10288,0.815124417,
F61,FCAImmP7862087,7,total,liver,1,1,1,
F61,FCAImmP7862094,7,CD45+,skin,63,1472,0.042798913,
F61,FCAImmP7862095,7,CD45-,skin,1409,1472,0.957201087,
F61,FCAImmP7862096,7,CD45-,skin,1409,1472,0.957201087,
F61,FCAImmP7862088,7,CD45+,yolkSac,1011,7027,0.14387363,
F61,FCAImmP7862089,7,CD45+,yolkSac,1011,7027,0.14387363,
F61,FCAImmP7862090,7,CD45+,yolkSac,1011,7027,0.14387363,
F61,FCAImmP7862091,7,CD45-,yolkSac,6016,7027,0.85612637,
F61,FCAImmP7862092,7,CD45-,yolkSac,6016,7027,0.85612637,
F61,FCAImmP7862093,7,CD45-,yolkSac,6016,7027,0.85612637,
F64,FCAImmP7851890,11,total,thymus,1,1,1,
F64,FCAImmP7851891,11,total,thymus,1,1,1,
F67,FCAImmP7851892,12,total,thymus,1,1,1,
F67,FCAImmP7851893,12,total,thymus,1,1,1,
F67,FCAImmP7851894,12,total,thymus,1,1,1,
F67,FCAImmP7851895,12,total,thymus,1,1,1,
F67,FCAImmP7851896,12,CD137,thymus,Nan,Nan,1,unknown
F67,FCAImmP7851897,12,MAIT,thymus,Nan,Nan,1,unknown
F69,FCAImmP7964502,11,CD45+,skin,24386,1248592,0.019530799,
F69,FCAImmP7964503,11,CD45-,skin,1224206,1248592,0.980469201,
F69,FCAImmP7964504,11,CD45-,skin,1224206,1248592,0.980469201,
F69,FCAImmP7964505,11,CD45-,skin,1224206,1248592,0.980469201,
F69,FCAImmP7964499,11,CD45+,spleen,1033,113117,0.009132137521,
F69,FCAImmP7964500,11,CD45-,spleen,112137,113117,0.9913364039,
F69,FCAImmP7964501,11,CD45-,spleen,112137,113117,0.9913364039,
F71,FCAImmP7964506,14,CD45+,skin,39796,1481874,0.026855185,
F71,FCAImmP7964507,14,CD45+,skin,39796,1481874,0.026855185,
F71,FCAImmP7964508,14,CD45-,skin,1442078,1481874,0.973144815,
F71,FCAImmP7964509,14,CD45-,skin,1442078,1481874,0.973144815,
F71,FCAImmP7964510,14,CD45-,skin,1442078,1481874,0.973144815,