BCR,GEX file
WSSS_F_Imm10014564,FCAImmP7292029
WSSS_F_Imm10014565,FCAImmP7292031
WSSS_F_Imm10014566,FCAImmP7292030
WSSS_F_Imm10014567,FCAImmP7555860
WSSS_F_Imm10014568,FCAImmP7555856
WSSS_F_Imm10014569,FCAImmP7555862
WSSS_F_Imm10014570,FCAImmP7555859
WSSS_F_Imm10014571,FCAImmP7579230
WSSS_F_Imm10014572,FCAImmP7579226
WSSS_F_Imm10014573,FCAImmP7579228
WSSS_F_Imm10014574,FCAImmP7579232
WSSS_F_Imm10014575,FCAImmP7803020
WSSS_F_Imm10014576,FCAImmP7803021
WSSS_F_Imm10014577,FCAImmP7803016
WSSS_F_Imm10014578,FCAImmP7803017
WSSS_F_Imm10014579,FCAImmP7803037
WSSS_F_Imm10014580,FCAImmP7803038
WSSS_F_Imm10014581,FCAImmP7803034
WSSS_F_Imm10014582,FCAImmP7803035
WSSS_F_Imm10014583,FCAImmP7803028
WSSS_F_Imm10014584,FCAImmP7803029
WSSS_F_Imm10014585,FCAImmP7803030
WSSS_F_Imm10014586,FCAImmP7862084
WSSS_F_Imm10014587,FCAImmP7964506
WSSS_F_Imm10014588,FCAImmP7964507
FCAImmP7812651,FCAImmP7803024
FCAImmP7812652,FCAImmP7803025
FCA_gut8090116,FCA_gut8015057
FCA_gut8090117,FCA_gut8015058
FCA_gut8090118,FCA_gut8015059
FCA_gut8090119,FCA_gut8015060
FCA_gut8090120,FCA_gut8015061
Human_colon_16S8157863,Human_colon_16S8159182
Human_colon_16S8157864,Human_colon_16S8159183
Human_colon_16S8157865,Human_colon_16S8159184
Human_colon_16S8157866,Human_colon_16S8159185
Human_colon_16S8157867,Human_colon_16S8159186
Human_colon_16S8157868,Human_colon_16S8159187
Human_colon_16S8157869,Human_colon_16S8159188
Human_colon_16S8157870,Human_colon_16S8159189
Human_colon_16S8157871,Human_colon_16S8159190
FCAImmP7812649,FCAImmP7803020
FCAImmP7812650,FCAImmP7803021