lane_id,GEX_id
FCAImmP7292944,FCAImmP7292031
FCAImmP7292941,FCAImmP7292028
FCAImmP7292942,FCAImmP7292029
FCAImmP7292943,FCAImmP7292030
FCAImmP7292947,FCAImmP7292035
FCAImmP7292940,FCAImmP7292032
FCAImmP7292945,FCAImmP7292033
FCAImmP7292946,FCAImmP7292034
FCAImmP7607589,FCAImmP7316901
FCAImmP7607590,FCAImmP7352196
FCAImmP7607591,FCAImmP7528295
FCAImmP7607593,FCAImmP7528296
FCAImmP7607592,FCAImmP7528294
FCAImmP7607594,FCAImmP7555855
FCAImmP7607601,FCAImmP7555862
FCAImmP7607598,FCAImmP7555859
FCAImmP7607595,FCAImmP7555856
FCAImmP7607596,FCAImmP7555857
FCAImmP7607597,FCAImmP7555858
FCAImmP7607599,FCAImmP7555860
FCAImmP7607600,FCAImmP7555861
FCAImmP7607610,FCAImmP7579232
FCAImmP7607611,FCAImmP7579233
FCAImmP7607603,FCAImmP7579225
FCAImmP7607604,FCAImmP7579226
FCAImmP7607605,FCAImmP7579227
FCAImmP7607602,FCAImmP7579224
FCAImmP7607606,FCAImmP7579228
FCAImmP7607607,FCAImmP7579229
FCAImmP7607608,FCAImmP7579230
FCAImmP7607609,FCAImmP7579231
FCAImmP7812643,FCAImmP7803016
FCAImmP7812644,FCAImmP7803017
FCAImmP7812645,FCAImmP7803024
FCAImmP7812646,FCAImmP7803025
FCAImmP7812653,FCAImmP7803028
FCAImmP7812654,FCAImmP7803029
FCAImmP7812655,FCAImmP7803030
FCAImmP7812656,FCAImmP7803034
FCAImmP7812657,FCAImmP7803035
FCAImmP7851882,FCAImmP7851890
FCAImmP7851883,FCAImmP7851891
FCAImmP7851884,FCAImmP7851892
FCAImmP7851885,FCAImmP7851893
FCAImmP7851886,FCAImmP7851894
FCAImmP7851887,FCAImmP7851895
FCAImmP7851888,FCAImmP7851896
FCAImmP7851889,FCAImmP7851897
FCAImmP7964494,FCAImmP7964502
FCAImmP7964497,FCAImmP7964506
FCAImmP7964498,FCAImmP7964507
FCA_gut8090111,FCA_gut8015057
FCA_gut8090112,FCA_gut8015058
FCA_gut8090113,FCA_gut8015059
FCA_gut8090114,FCA_gut8015060
FCA_gut8090115,FCA_gut8015061
Human_colon_16S8157847,Human_colon_16S8159182
Human_colon_16S8157848,Human_colon_16S8159183
Human_colon_16S8157849,Human_colon_16S8159184
Human_colon_16S8157850,Human_colon_16S8159185
Human_colon_16S8157851,Human_colon_16S8159186
Human_colon_16S8157852,Human_colon_16S8159187
Human_colon_16S8157853,Human_colon_16S8159188
Human_colon_16S8157854,Human_colon_16S8159189
Human_colon_16S8157855,Human_colon_16S8159190