,original_cell_type,organ,uniform_label,uniform_label_lvl0,uniform_label_expanded_merged
204,microglia,ys,GLIA,GLIAL,GLIA
205,MK,ys,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
206,Monocyte,ys,MONOCYTE,MYELOID,MONOCYTE
207,Monocyte_Macrophage,ys,MONOCYTE/MACROPHAGE,MYELOID,MONOCYTE/MACROPHAGE
208,MOP,ys,MOP,HSC_MPP,COMMITTED_MONOCYTE_PROGENITOR
209,MPP,ys,MPP,HSC_MPP,MPP
210,MPP2,ys,MPP,HSC_MPP,MPP
211,Neutrophil_precursor,ys,NEUTROPHIL PRECURSOR,MYELOID,NEUTROPHIL PRECURSOR
212,NK,ys,NK,LYMPHOID,NK
213,Promonocyte,ys,PROMONOCYTE,MYELOID,PROMONOCYTE
214,Smooth_Muscle,ys,MUSCLE,MUSCLE,MUSCLE
215,B_cell,sp,B CELL,LYMPHOID,B CELL
216,CD8_Tcell,sp,SP T CELL,LYMPHOID,SP T CELL
217,DC1,sp,DC,MYELOID,DC
218,DC2,sp,DC,MYELOID,DC
219,Early_Erythroid,sp,EARLY ERYTHROID,ERYTHROID,EARLY ERYTHROID
220,Early_Megakaryocyte_progenitor,sp,EARLY MK,MEGAKARYOCYTE,EARLY MK
221,Erythroid,sp,ERYTHROID,ERYTHROID,ERYTHROID
222,Fibroblast,sp,FIBROBLAST,STROMAL,FIBROBLAST
223,Fibroblast_expressing_pericyte_features,sp,FIBROBLAST,STROMAL,FIBROBLAST
224,HSC,sp,HSC,HSC_MPP,HSC
225,ILC_Progenitor,sp,ILC,LYMPHOID,ILC
226,ILC2,sp,ILC,LYMPHOID,ILC
227,ILC3,sp,ILC,LYMPHOID,ILC
228,Late_Megakaryocyte,sp,LATE MK,MEGAKARYOCYTE,LATE MK
229,Late_neural_crest_cells,sp,NEURAL CREST,NEURAL CREST,NEURAL CREST
230,Macrophage_Proliferating,sp,MACROPHAGE,MYELOID,MACROPHAGE
231,Mast_cell,sp,MAST CELL,EO_BASO_MAST,MAST CELL
232,MEMP,sp,MEMP,HSC_MPP,MEMP
233,Mesenchymal stem cell_endothelial cell,sp,MSC/ENDOTHELIAL CELL,MESENCHYMAL_PROGENITOR,MSC/ENDOTHELIAL CELL
234,Mid_Erythroid,sp,MID ERYTHROID,ERYTHROID,MID ERYTHROID
235,Mid_Megakaryocyte,sp,MID MK,MEGAKARYOCYTE,MID MK
236,Mig_Macrophage,sp,MACROPHAGE,MYELOID,MACROPHAGE
237,Mono_Mac,sp,MONOCYTE/MACROPHAGE,MYELOID,MONOCYTE/MACROPHAGE
238,Monocyte,sp,MONOCYTE,MYELOID,MONOCYTE
239,Monocyte_DC_precursor,sp,MONOCYTE/DC PRECURSOR,MYELOID,MONOCYTE/DC PRECURSOR
240,MSC_expressing_Muscle_and_proliferative_features,sp,MUSCLE,MUSCLE,MUSCLE
241,MSC_expressing_Muscle_features,sp,MUSCLE,MUSCLE,MUSCLE
242,Muscle_expressing_pericyte_features,sp,PERICYTE,VASCULATURE,PERICYTE
243,Myofibroblast,sp,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
244,Myofibroblast_expressing_pericyte_features,sp,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
245,Neut,sp,NEUTROPHIL,MYELOID,NEUTROPHIL
246,Neut_Myeloid_Progenitor,sp,NEUTROPHIL PROGENITOR,MYELOID,NEUTROPHIL PRECURSOR
247,Neut_Progenitor,sp,NEUTROPHIL PROGENITOR,MYELOID,NEUTROPHIL PRECURSOR
248,NK_cells,sp,NK,LYMPHOID,NK
249,NK_Proliferating,sp,NK,LYMPHOID,NK
250,NKT,sp,NK T,LYMPHOID,NK T
251,pDC,sp,PDC,LYMPHOID,PDC
252,Pre_B_cells_Proliferative,sp,PRE B CELL,LYMPHOID,PRE B CELL
253,Pre_Pro_B_cells,sp,PRE PRO B CELL,LYMPHOID,PRE PRO B CELL
254,Pro_B_cells_Proliferative,sp,PRO B CELL,LYMPHOID,PRO B CELL
255,Proliferative_fibroblast,sp,FIBROBLAST,STROMAL,FIBROBLAST
256,RP_Macrophage,sp,MACROPHAGE,MYELOID,MACROPHAGE
257,Splenic_endothelial_cell_expressing_HEV_Markers,sp,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
258,T_cell,sp,SP T CELL,LYMPHOID,SP T CELL
259,T_cells_Proiferating,sp,SP T CELL,LYMPHOID,SP T CELL
260,Unknown,sp,UNKNOWN,UNKNOWN,UNKNOWN
261,S3-like,gu,S3-LIKE,STROMAL,S3-LIKE
262,Pericyte,gu,PERICYTE,VASCULATURE,PERICYTE
263,Arterial endothelial 1,gu,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
264,mLTo,gu,MLTO,STROMAL,MESENCHYMAL_LYMPHOID_TISSUE_ORGANISER
265,Stromal 3,gu,FIBROBLAST,STROMAL,FIBROBLAST
266,Myofibroblast,gu,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
267,Stromal 1,gu,FIBROBLAST,STROMAL,FIBROBLAST
268,Venous endothelial 2,gu,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
269,Crypt,gu,CRYPT,EPI,CRYPT
270,macrophage,gu,MACROPHAGE,MYELOID,MACROPHAGE
271,Enteric glia,gu,GLIA,GLIAL,GLIA
272,Stromal 2,gu,FIBROBLAST,STROMAL,FIBROBLAST
273,Venous endothelial 1,gu,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
274,Neuron branch 2a,gu,NEURON,NEURONAL,NEURON
275,Neuron branch 1,gu,NEURON,NEURONAL,NEURON
276,Enterocyte,gu,ENTEROCYTE,EPI,ERYTHROID
277,Lymphatic endothelial,gu,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
278,Non-myelin Schwann-like,gu,SCHWANN CELLS,GLIAL,SCHWANN CELLS
279,Arterial endothelial 2,gu,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
280,Erythroblast,gu,ERYTHROCYTE,ERYTHROID,ERYTHROID
281,SMC,gu,SMOOTH MUSCLE/PERICYTE,VASCULATURE,SMOOTH MUSCLE/PERICYTE
282,SMC1,gu,SMOOTH MUSCLE/PERICYTE,VASCULATURE,SMOOTH MUSCLE/PERICYTE
283,LTi-like NK/T,gu,NK T,LYMPHOID,NK T
284,MLN/GHRL EEC,gu,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL
285,Pro-B,gu,PRO B CELL,LYMPHOID,PRO B CELL
286,Myelin Schwann-like,gu,SCHWANN CELLS,GLIAL,SCHWANN CELLS
287,Committed neuron prog,gu,NEURON,NEURONAL,NEURON
288,LYVE1+ macrophage,gu,MACROPHAGE,MYELOID,MACROPHAGE
289,Mesothelium,gu,MESOTHELIUM,EPI,MESOTHELIUM
290,Tuft,gu,TUFT,EPI,TUFT
291,Goblet,gu,GOBLET,EPI,GOBLET
292,TPH1 EEC,gu,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL
293,BEST4 enterocyte,gu,ENTEROCYTE,EPI,ERYTHROID
294,Neuron branch 2b,gu,NEURON,NEURONAL,NEURON
295,ENCC,gu,NEURAL CREST,NEURAL CREST,NEURAL CREST
296,Capillary endothelium,gu,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
297,ICC,gu,ICC,STROMAL,INTERSTITIAL_CELL_CAJAL
298,cDC2,gu,DC,MYELOID,DC
299,NK cell,gu,NK,LYMPHOID,NK
300,Monocyte 2,gu,MONOCYTE,MYELOID,MONOCYTE
301,NTS/GCG/PYY EEC,gu,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL
302,SELL+ CD4 T,gu,SP T CELL,LYMPHOID,SP T CELL
303,Cycling endothelium,gu,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
304,Immature B,gu,B CELL,LYMPHOID,B CELL
305,Inflammatory macrophage,gu,MACROPHAGE,MYELOID,MACROPHAGE
306,M cell,gu,M CELL,EPI,MICROFOLD_CELL
307,EEC,gu,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL
308,LTi-like ILC3,gu,LTI/ILC3,LYMPHOID,LTI/ILC3
309,CLP,gu,LYMPHOID PROGENITOR,HSC_MPP,LYMPHOID PROGENITOR
310,cDC1,gu,DC,MYELOID,DC
311,Treg,gu,TREG,LYMPHOID,TREG
312,pDC,gu,PDC,LYMPHOID,PDC
313,SCP,gu,SCHWANN CELLS,GLIAL,SCHWANN CELLS
314,GAST/GIP EEC,gu,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL
315,CCK EEC,gu,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL
316,SELL+ CD8 T,gu,SP T CELL,LYMPHOID,SP T CELL
317,NK T cell,gu,NK T,LYMPHOID,NK T
318,Pre-B,gu,PRE B CELL,LYMPHOID,PRE B CELL
319,TA,gu,TA,EPI,TRANSIT_AMPLIFYING
320,NEUROG3hi EEC,gu,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL
321,Mast,gu,MAST CELL,EO_BASO_MAST,MAST CELL
322,Monocyte,gu,MONOCYTE,MYELOID,MONOCYTE
323,ILCP,gu,ILC PRECURSOR,LYMPHOID,ILC PRECURSOR
324,Lymphoid DC,gu,DC,MYELOID,DC
325,Cycling stromal,gu,FIBROBLAST,STROMAL,FIBROBLAST
326,MPO+ mono-neutrophil,gu,NEUTROPHIL,MYELOID,NEUTROPHIL
327,Cycling myeloid,gu,CD16 MYELOID,MYELOID,COMMITTED_MONOCYTE_PROGENITOR
328,CD177+ neutrophil,gu,NEUTROPHIL,MYELOID,NEUTROPHIL
329,Committed glial prog,gu,GLIA,GLIAL,GLIA
330,cycling T,gu,SP T CELL,LYMPHOID,SP T CELL
331,adipo-CAR,bm,ADIPOCYTE,ADIPOSE,ADIPOCYTE
332,arteriolar fibroblast,bm,FIBROBLAST,STROMAL,FIBROBLAST
333,basophil,bm,BASOPHIL,EO_BASO_MAST,BASOPHIL
334,CD14 monocyte,bm,MONOCYTE,MYELOID,MONOCYTE
335,CD4 T cell,bm,SP T CELL,LYMPHOID,SP T CELL
336,CD56 bright NK,bm,NK,LYMPHOID,NK
337,CD8 T cell,bm,SP T CELL,LYMPHOID,SP T CELL
338,chondrocyte,bm,CHONDROCYTE,OSTEOCHONDRAL,CHONDROCYTE
339,CMP,bm,CMP,HSC_MPP,COMMON_MYELOID_PROGENITOR
340,DC precursor,bm,DC PRECURSOR,MYELOID,DC PRECURSOR
341,DC1,bm,DC,MYELOID,DC
342,DC2,bm,DC,MYELOID,DC
343,DC3,bm,DC,MYELOID,DC
344,early erythroid,bm,EARLY ERYTHROID,ERYTHROID,EARLY ERYTHROID
345,early MK,bm,EARLY MK,MEGAKARYOCYTE,EARLY MK
346,early osteoblast,bm,EARLY OSTEOBLAST,OSTEOCHONDRAL,EARLY OSTEOBLAST
347,ELP,bm,ELP,LYMPHOID,ELP
348,endosteal fibroblast,bm,FIBROBLAST,STROMAL,FIBROBLAST
349,eo/baso/mast precursor,bm,EO/BASO/MAST PRECURSOR,EO_BASO_MAST,EO/BASO/MAST PRECURSOR
350,eosinophil,bm,EOSINOPHIL,EO_BASO_MAST,EOSINOPHIL
351,erythroid macrophage,bm,MACROPHAGE,MYELOID,MACROPHAGE
352,GMP,bm,GMP,HSC_MPP,GRANULOCYTE_MONOCYTE_PROGENITOR
353,HSC,bm,HSC,HSC_MPP,HSC
354,ILC precursor,bm,ILC PRECURSOR,LYMPHOID,ILC PRECURSOR
355,immature B cell,bm,B CELL,LYMPHOID,B CELL
356,immature EC,bm,ERYTHROCYTE,ERYTHROID,ERYTHROID
357,late erythroid,bm,LATE ERYTHROID,ERYTHROID,LATE ERYTHROID
358,LMPP,bm,LMPP,HSC_MPP,LYMPHOID_PROGENITOR
359,mast cell,bm,MAST CELL,EO_BASO_MAST,MAST CELL
360,mature NK,bm,NK,LYMPHOID,NK
361,MEMP,bm,MEMP,HSC_MPP,MEMP
362,MEP,bm,MEP,HSC_MPP,MK_ERY_PROGENITOR
363,mid erythroid,bm,MID ERYTHROID,ERYTHROID,MID ERYTHROID
364,MK,bm,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
365,monocytoid macrophage,bm,MACROPHAGE,MYELOID,MACROPHAGE
366,MOP,bm,MOP,HSC_MPP,COMMITTED_MONOCYTE_PROGENITOR
367,MPP myeloid,bm,MPP MYELOID,HSC_MPP,MYELOID_MULTIPOTENT_PROGENITOR
368,muscle,bm,MUSCLE,MUSCLE,MUSCLE
369,muscle stem cell,bm,MUSCLE STEM CELL,MESENCHYMAL_PROGENITOR,MUSCLE STEM CELL
370,myelocyte,bm,MYELOCYTE,MYELOID,MYELOCYTE
371,myeloid DC progenitor,bm,MYELOID DC PROGENITOR,HSC_MPP,MYELOID DC PROGENITOR
372,myofibroblast,bm,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
373,naive B cell,bm,B CELL,LYMPHOID,B CELL
374,neutrophil,bm,NEUTROPHIL,MYELOID,NEUTROPHIL
375,NK progenitor,bm,NK PROGENITOR,LYMPHOID,NK PROGENITOR
376,NK T cell,bm,NK T,LYMPHOID,NK T
377,osteoblast,bm,OSTEOBLAST,OSTEOCHONDRAL,OSTEOBLAST
378,osteoblast precursor,bm,OSTEOBLAST PRECURSOR,OSTEOCHONDRAL,OSTEOBLAST PRECURSOR
379,osteochondral precursor,bm,OSTEOCHONDRAL PRECURSOR,OSTEOCHONDRAL,OSTEOCHONDRAL PRECURSOR
380,osteoclast,bm,OSTEOCLAST,MYELOID,OSTEOCLAST
381,pDC,bm,PDC,LYMPHOID,PDC
382,pDC progenitor,bm,PDC PROGENITOR,LYMPHOID,PDC PROGENITOR
383,pre B progenitor,bm,PRE B CELL,LYMPHOID,PRE B CELL
384,pre pro B progenitor,bm,PRE PRO B CELL,LYMPHOID,PRE PRO B CELL
385,pro B progenitor,bm,PRO B CELL,LYMPHOID,PRO B CELL
386,proliferating EC,bm,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
387,promonocyte,bm,PROMONOCYTE,MYELOID,PROMONOCYTE
388,promyelocyte,bm,PROMYELOCYTE,MYELOID,PROMYELOCYTE
389,schwann cells,bm,SCHWANN CELLS,GLIAL,SCHWANN CELLS
390,sinusoidal EC,bm,ERYTHROCYTE,ERYTHROID,ERYTHROID
391,stromal macrophage,bm,MACROPHAGE,MYELOID,MACROPHAGE
392,tDC,bm,DC,MYELOID,DC
393,tip EC,bm,ERYTHROCYTE,ERYTHROID,ERYTHROID
394,Treg,bm,TREG,LYMPHOID,TREG
